idade,recencia_dias,frequencia_compras,valor_total,ticket_medio,std_valor,dias_entre_compras,ticket_medio_rel,cliente_sem_compra,compras_beleza,compras_casa,compras_eletrônicos,compras_esportes,compras_moda,prop_compras_beleza,prop_compras_casa,prop_compras_eletrônicos,prop_compras_esportes,prop_compras_moda,genero_M,cidade_BSB,cidade_POA,cidade_RJ,cidade_SP,canal_aquisicao_Google,canal_aquisicao_Indicação,canal_aquisicao_Orgânico,metodo_preferido_Cartão,metodo_preferido_Pix
39,2255,3,143.01,47.67,43.46,54,0.27744927397019276,0,0,2,0,1,0,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0,True,False,False,True,False,True,False,False,True,False
27,2171,5,517.26,103.45,45.0,171,0.6021004277788219,0,0,1,3,0,1,0.0,0.2,0.6,0.0,0.2,True,False,False,False,True,False,False,True,False,False
31,2105,3,546.14,182.05,92.43,236,1.059568708333828,0,2,0,0,1,0,0.6666666666666666,0.0,0.0,0.3333333333333333,0.0,True,False,False,False,False,False,True,False,True,False
27,2238,6,717.36,119.56,183.16,70,0.6958639646712029,0,0,1,2,0,3,0.0,0.16666666666666666,0.3333333333333333,0.0,0.5,True,False,False,True,False,True,False,False,False,False
57,2155,7,1699.32,242.76,119.8,188,1.4129134833019505,0,0,1,2,2,2,0.0,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.2857142857142857,False,True,False,False,False,False,True,False,True,False
34,2104,8,1461.57,182.7,72.23,231,1.063351842969461,0,2,1,1,1,3,0.25,0.125,0.125,0.125,0.375,True,False,False,False,False,False,False,False,True,False
22,2042,16,1760.26,110.02,73.45,298,0.6403391886343739,0,2,6,3,2,3,0.125,0.375,0.1875,0.125,0.1875,True,False,False,False,True,False,False,True,True,False
44,2257,8,1595.07,199.38,140.57,85,1.1604328979269358,0,0,2,1,3,2,0.0,0.25,0.125,0.375,0.25,False,False,False,False,True,False,False,True,False,False
20,2262,4,438.52,109.63,108.57,81,0.6380693078529941,0,2,1,1,0,0,0.5,0.25,0.25,0.0,0.0,False,False,False,False,False,True,False,False,True,False
37,2040,4,773.68,193.42,167.85,299,1.1257444634217468,0,0,1,1,0,2,0.0,0.25,0.25,0.0,0.5,False,False,False,True,False,False,False,True,True,False
11,2220,8,1224.94,153.12,117.04,120,0.8911901160125008,0,0,2,2,2,2,0.0,0.25,0.25,0.25,0.25,True,False,True,False,False,False,False,False,True,False
19,2094,10,1686.47,168.65,132.93,239,0.9815779327684708,0,3,3,1,0,3,0.3,0.3,0.1,0.0,0.3,False,False,False,False,False,True,False,False,True,False
37,1887,9,851.73,94.64,60.41,412,0.5508244029481653,0,0,1,0,3,5,0.0,0.1111111111111111,0.0,0.3333333333333333,0.5555555555555556,True,False,False,False,True,False,True,False,True,False
43,2093,9,2328.17,258.69,157.07,249,1.505629382910618,0,1,2,3,0,3,0.1111111111111111,0.2222222222222222,0.3333333333333333,0.0,0.3333333333333333,False,True,False,False,False,False,True,False,True,False
37,1968,9,1488.53,165.39,110.83,347,0.9626040575189883,0,1,2,2,2,2,0.1111111111111111,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2222222222222222,True,False,False,False,True,True,False,False,True,False
33,2035,9,1354.29,150.48,64.53,299,0.875824769184699,0,2,2,2,1,2,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.2222222222222222,False,False,False,False,True,False,True,False,True,False
31,2137,7,1103.89,157.7,109.22,179,0.917846664675884,0,2,2,1,1,1,0.2857142857142857,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.14285714285714285,False,False,False,False,False,False,True,False,False,False
17,2051,13,1726.04,132.77,58.55,285,0.7727489008815291,0,3,2,4,0,4,0.23076923076923078,0.15384615384615385,0.3076923076923077,0.0,0.3076923076923077,True,True,False,False,False,True,False,False,True,False
26,2262,3,614.31,204.77,44.66,67,1.191803814367031,0,0,0,1,1,1,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,False,False,False,True,False,False,False,False,True,False
29,2028,11,1948.54,177.14,88.19,309,1.0309914913169695,0,2,3,2,0,4,0.18181818181818182,0.2727272727272727,0.18181818181818182,0.0,0.36363636363636365,False,False,False,False,True,False,True,False,True,False
47,2248,7,945.28,135.04,78.38,88,0.7859607710705858,0,1,1,2,1,2,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.2857142857142857,False,False,False,False,True,True,False,False,True,False
39,2194,7,1431.43,204.49,107.74,123,1.190174156370143,0,1,1,2,1,2,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.2857142857142857,False,False,False,False,True,False,False,True,True,False
13,2239,8,1321.15,165.14,118.37,92,0.9611490057360526,0,1,3,1,2,1,0.125,0.375,0.125,0.25,0.125,False,False,False,False,True,True,False,False,True,False
38,2136,7,1221.69,174.53,100.25,197,1.0158007507031201,0,2,0,3,0,2,0.2857142857142857,0.0,0.42857142857142855,0.0,0.2857142857142857,True,False,False,False,True,True,False,False,True,False
30,2210,5,1135.32,227.06,170.59,124,1.3215362313335843,0,3,0,1,0,1,0.6,0.0,0.2,0.0,0.2,True,False,False,True,False,True,False,False,False,False
26,2126,3,171.35,57.12,27.6,198,0.33245023136516483,0,0,1,1,1,0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,False,False,True,False,False,False,True,False,False,True
42,2025,9,1650.12,183.35,152.59,315,1.067134977605094,0,2,2,1,1,3,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.3333333333333333,False,False,False,False,True,False,True,False,True,False
47,2021,10,1856.92,185.69,143.32,317,1.080754262293373,0,1,2,0,5,2,0.1,0.2,0.0,0.5,0.2,True,False,False,False,True,False,False,False,True,False
46,1739,6,1017.89,169.65,108.09,568,0.987398139900214,0,1,0,1,0,4,0.16666666666666666,0.0,0.16666666666666666,0.0,0.6666666666666666,True,True,False,False,False,True,False,False,True,False
24,2191,7,615.64,87.95,51.03,143,0.5118872172368041,0,1,2,2,0,2,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.0,0.2857142857142857,False,False,False,False,False,False,False,True,True,False
31,2153,4,271.87,67.97,64.96,145,0.3955994787445773,0,1,0,1,1,1,0.25,0.0,0.25,0.25,0.25,True,False,True,False,False,True,False,False,False,False
38,2079,9,1458.91,162.1,84.2,252,0.9434555760555536,0,1,4,3,0,1,0.1111111111111111,0.4444444444444444,0.3333333333333333,0.0,0.1111111111111111,False,False,False,False,True,True,False,False,True,False
46,1850,8,1013.63,126.7,70.8,485,0.7374202435918485,0,2,3,0,0,3,0.25,0.375,0.0,0.0,0.375,False,False,False,False,True,True,False,False,True,False
29,2150,6,544.99,90.83,89.84,169,0.5286494137762241,0,2,2,2,0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,False,False,False,True,False,True,False,False,True,False
32,2142,12,2471.22,205.94,114.14,197,1.1986134567111704,0,2,3,1,3,3,0.16666666666666666,0.25,0.08333333333333333,0.25,0.25,False,False,False,True,False,False,False,False,True,False
21,2000,12,1616.43,134.7,105.46,326,0.7839819006457931,0,2,2,2,2,4,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.3333333333333333,True,False,False,True,False,True,False,False,True,False
20,2190,10,1275.66,127.57,120.6,145,0.7424838237964649,0,1,2,2,1,4,0.1,0.2,0.2,0.1,0.4,True,False,False,True,False,True,False,False,True,False
44,2270,3,384.8,128.27,25.96,68,0.7465579687886852,0,0,0,0,0,3,0.0,0.0,0.0,0.0,1.0,True,False,False,False,True,False,False,True,True,False
51,2179,5,587.9,117.58,77.11,147,0.6843399545503516,0,1,1,2,0,1,0.2,0.2,0.4,0.0,0.2,False,False,False,True,False,True,False,False,True,False
34,2139,6,749.72,124.95,71.66,191,0.7272348811112982,0,1,1,2,1,1,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.16666666666666666,True,False,False,True,False,False,False,True,True,False
47,2180,11,3176.56,288.78,284.52,154,1.6807594155047672,0,1,2,3,2,3,0.09090909090909091,0.18181818181818182,0.2727272727272727,0.18181818181818182,0.2727272727272727,False,False,False,True,False,False,True,False,True,False
39,2110,6,746.04,124.34,102.15,189,0.7236845547609349,0,1,1,1,1,2,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.3333333333333333,False,False,False,True,False,False,False,False,True,False
27,2185,6,1306.66,217.78,168.7,133,1.2675247091510085,0,1,0,0,2,3,0.16666666666666666,0.0,0.0,0.3333333333333333,0.5,True,False,False,True,False,False,True,False,True,False
39,2082,6,987.67,164.61,102.52,213,0.9580642959562289,0,0,1,4,0,1,0.0,0.16666666666666666,0.6666666666666666,0.0,0.16666666666666666,False,False,False,False,True,False,False,False,True,False
53,2090,7,1338.3,191.19,122.25,229,1.11276540151796,0,1,2,1,1,2,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.2857142857142857,False,False,False,False,True,True,False,False,True,False
34,2020,9,1050.09,116.68,71.24,290,0.6791017681317829,0,2,2,1,1,3,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.3333333333333333,False,False,False,True,False,False,False,True,True,False
53,1838,4,1002.96,250.74,141.05,478,1.4593587362132605,0,2,1,1,0,0,0.5,0.25,0.25,0.0,0.0,True,False,False,False,True,False,True,False,False,False
3,2055,9,1121.94,124.66,84.32,279,0.7255470210430927,0,2,1,3,3,0,0.2222222222222222,0.1111111111111111,0.3333333333333333,0.3333333333333333,0.0,False,False,False,True,False,False,False,True,True,False
44,2196,3,770.03,256.68,359.07,108,1.4939307665758144,0,1,0,0,0,2,0.3333333333333333,0.0,0.0,0.0,0.6666666666666666,True,True,False,False,False,False,False,True,True,False
36,1938,7,988.99,141.28,112.44,393,0.8222788635726627,0,0,3,1,0,3,0.0,0.42857142857142855,0.14285714285714285,0.0,0.42857142857142855,False,False,False,False,True,True,False,False,True,False
31,2224,7,1355.45,193.64,148.79,109,1.1270249089907303,0,0,0,3,0,4,0.0,0.0,0.42857142857142855,0.0,0.5714285714285714,True,False,False,False,True,True,False,False,True,False
36,1994,5,716.52,143.3,90.97,321,0.8340356819787837,0,1,1,0,1,2,0.2,0.2,0.0,0.2,0.4,False,False,True,False,False,True,False,False,True,False
11,2061,10,1338.74,133.87,95.98,256,0.7791511287264464,0,2,1,3,1,3,0.2,0.1,0.3,0.1,0.3,True,False,False,False,True,False,False,True,True,False
32,2230,8,1431.75,178.97,137.95,102,1.0416424703680593,0,2,3,2,0,1,0.25,0.375,0.25,0.0,0.125,True,False,False,False,True,False,False,True,True,False
39,1927,14,2402.07,171.58,106.31,409,0.9986311396644781,0,1,1,8,0,4,0.07142857142857142,0.07142857142857142,0.5714285714285714,0.0,0.2857142857142857,False,False,False,False,True,False,True,False,True,False
52,2294,2,914.17,457.08,528.85,33,2.660300275777128,0,0,0,0,1,1,0.0,0.0,0.0,0.5,0.5,False,False,False,False,False,True,False,False,False,False
28,2143,14,1963.98,140.28,128.19,192,0.8164586564409196,0,3,2,5,1,3,0.21428571428571427,0.14285714285714285,0.35714285714285715,0.07142857142857142,0.21428571428571427,False,False,False,False,True,True,False,False,True,False
25,2143,6,858.76,143.13,92.8,167,0.8330462467663874,0,2,1,1,2,0,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.0,False,False,False,True,False,False,False,True,False,False
28,2096,6,1039.89,173.31,82.3,239,1.0087000980023937,0,1,1,1,2,1,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.16666666666666666,True,False,False,True,False,False,False,True,True,False
45,2192,6,999.8,166.63,100.02,125,0.9698211143623497,0,1,1,1,0,3,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.5,False,False,False,False,True,True,False,False,True,False
38,2131,8,1337.15,167.14,114.26,192,0.9727894199995387,0,1,0,2,0,5,0.125,0.0,0.25,0.0,0.625,True,False,False,False,True,True,False,False,True,False
28,2169,4,699.49,174.87,66.0,118,1.0177796211279129,0,0,2,1,1,0,0.0,0.5,0.25,0.25,0.0,False,False,False,False,False,False,False,False,True,False
41,2044,6,801.21,133.54,28.8,280,0.7772304603729712,0,1,1,3,0,1,0.16666666666666666,0.16666666666666666,0.5,0.0,0.16666666666666666,True,False,False,True,False,True,False,False,True,False
36,2085,5,1042.83,208.57,126.91,241,1.2139206014676547,0,0,1,3,0,1,0.0,0.2,0.6,0.0,0.2,True,False,False,False,True,False,False,True,True,False
46,2050,10,1885.01,188.5,124.72,285,1.097109044333571,0,4,0,2,3,1,0.4,0.0,0.2,0.3,0.1,True,False,False,False,True,False,False,False,True,False
26,2159,7,788.54,112.65,62.81,172,0.6556463333908582,0,1,1,1,2,2,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.2857142857142857,False,False,False,True,False,False,True,False,True,False
31,2152,5,627.86,125.57,77.22,171,0.7308434095329788,0,0,1,1,2,1,0.0,0.2,0.2,0.4,0.2,False,True,False,False,False,False,False,False,True,False
30,2058,11,1279.54,116.32,97.13,262,0.6770064935643553,0,1,1,4,2,3,0.09090909090909091,0.09090909090909091,0.36363636363636365,0.18181818181818182,0.2727272727272727,True,False,False,False,True,False,False,False,True,False
17,2058,10,1821.37,182.14,96.53,271,1.060092526975685,0,1,2,2,2,3,0.1,0.2,0.2,0.2,0.3,True,False,False,True,False,True,False,False,True,False
38,2101,7,1106.95,158.14,75.22,233,0.9204075558138509,0,1,1,2,2,1,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.14285714285714285,True,False,False,False,True,False,False,True,True,False
38,1944,9,1537.62,170.85,112.47,389,0.9943823884583056,0,0,1,3,2,3,0.0,0.1111111111111111,0.3333333333333333,0.2222222222222222,0.3333333333333333,True,False,False,False,True,False,True,False,True,False
35,1911,5,937.55,187.51,81.85,399,1.0913470392731452,0,1,1,2,0,1,0.2,0.2,0.4,0.0,0.2,True,False,False,False,True,False,False,False,True,False
32,2062,5,829.41,165.88,146.81,231,0.9654559590135424,0,0,1,0,1,3,0.0,0.2,0.0,0.2,0.6,False,False,False,False,False,False,False,False,True,False
18,2107,17,2881.52,169.5,117.26,218,0.9865251088304524,0,3,5,2,3,4,0.17647058823529413,0.29411764705882354,0.11764705882352941,0.17647058823529413,0.23529411764705882,True,False,False,True,False,True,False,False,True,False
29,2081,6,1237.72,206.29,150.51,228,1.2006505292072804,0,1,1,1,1,2,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.3333333333333333,False,True,False,False,False,True,False,False,True,False
30,1986,3,532.15,177.38,43.58,246,1.032388341028588,0,1,0,0,0,2,0.3333333333333333,0.0,0.0,0.0,0.6666666666666666,False,False,False,False,False,False,True,False,True,False
25,2214,6,1045.12,174.19,105.1,112,1.0138218802783274,0,3,2,1,0,0,0.5,0.3333333333333333,0.16666666666666666,0.0,0.0,False,True,False,False,False,False,True,False,True,False
33,1943,9,964.49,107.17,65.4,381,0.6237515983089061,0,0,1,2,2,4,0.0,0.1111111111111111,0.2222222222222222,0.2222222222222222,0.4444444444444444,True,False,False,False,True,False,False,False,True,False
39,1847,8,973.35,121.67,86.63,467,0.7081446017191808,0,2,0,1,0,5,0.25,0.0,0.125,0.0,0.625,True,False,False,False,True,False,False,True,True,False
57,2224,4,1139.5,284.88,50.49,93,1.6580606076909692,0,1,1,1,0,1,0.25,0.25,0.25,0.0,0.25,True,False,True,False,False,False,True,False,True,False
37,1947,8,1274.37,159.3,92.3,320,0.9271589960866731,0,2,1,0,3,2,0.25,0.125,0.0,0.375,0.25,True,False,False,False,False,False,False,False,True,False
38,1934,5,834.06,166.81,60.27,363,0.9708687516460636,0,0,1,1,0,3,0.0,0.2,0.2,0.0,0.6,False,True,False,False,False,True,False,False,True,False
34,2134,6,607.53,101.26,49.78,185,0.5893541741603046,0,2,1,1,0,2,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.0,0.3333333333333333,False,False,False,False,True,False,False,True,True,False
11,2058,8,1321.2,165.15,181.18,267,0.9612072078073701,0,0,1,3,1,3,0.0,0.125,0.375,0.125,0.375,False,False,False,False,True,False,True,False,True,False
34,2269,3,714.0,238.0,159.5,31,1.3852092973548535,0,0,0,1,0,2,0.0,0.0,0.3333333333333333,0.0,0.6666666666666666,True,False,False,False,False,True,False,False,True,False
35,1869,9,2232.68,248.08,125.73,457,1.443876985242824,0,1,1,2,1,4,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.1111111111111111,0.4444444444444444,True,False,False,False,True,False,True,False,True,False
64,2273,1,360.36,360.36,0.0,0,2.0973698419949374,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0,True,False,False,True,False,False,False,False,True,False
32,2042,6,676.87,112.81,70.49,241,0.6565775665319371,0,0,3,1,1,1,0.0,0.5,0.16666666666666666,0.16666666666666666,0.16666666666666666,True,False,False,True,False,False,False,True,True,False
38,1839,7,1277.68,182.53,122.17,492,1.0623624077570648,0,0,2,1,0,4,0.0,0.2857142857142857,0.14285714285714285,0.0,0.5714285714285714,True,False,False,False,True,False,False,True,True,False
34,1983,8,978.98,122.37,90.68,346,0.712218746711401,0,0,0,3,4,1,0.0,0.0,0.375,0.5,0.125,True,False,False,False,True,False,True,False,True,False
20,2103,7,476.52,68.07,34.92,211,0.39618149945775155,0,0,2,3,0,2,0.0,0.2857142857142857,0.42857142857142855,0.0,0.2857142857142857,False,False,False,False,True,False,False,True,True,False
48,2114,7,1528.14,218.31,109.77,210,1.2706094189308323,0,2,1,2,1,1,0.2857142857142857,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.14285714285714285,False,False,False,False,True,True,False,False,True,False
44,2117,6,701.76,116.96,91.95,185,0.6807314261286709,0,0,2,1,1,2,0.0,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.3333333333333333,True,False,False,True,False,False,True,False,True,False
44,2093,5,1180.48,236.1,102.07,218,1.3741509038045416,0,1,2,0,0,2,0.2,0.4,0.0,0.0,0.4,False,False,False,False,True,False,False,True,True,False
24,2058,8,942.9,117.86,79.19,262,0.6859696125472396,0,4,0,0,1,3,0.5,0.0,0.0,0.125,0.375,False,False,False,False,True,False,False,False,True,False
51,1796,10,1954.44,195.44,153.96,526,1.137501281827868,0,4,3,1,2,0,0.4,0.3,0.1,0.2,0.0,False,True,False,False,False,False,True,False,True,False
18,1898,8,1235.84,154.48,106.0,426,0.8991055977116713,0,3,0,2,0,3,0.375,0.0,0.25,0.0,0.375,False,False,False,True,False,False,False,True,False,True
42,2171,10,1774.86,177.49,135.92,152,1.0330285638130796,0,0,1,5,2,2,0.0,0.1,0.5,0.2,0.2,True,False,False,False,True,True,False,False,True,False
61,2130,7,1389.31,198.47,155.51,196,1.1551365094370496,0,0,1,2,1,3,0.0,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.42857142857142855,False,False,False,False,False,True,False,False,True,False
23,2189,10,1680.25,168.02,118.55,139,0.9779112022754728,0,2,0,1,3,4,0.2,0.0,0.1,0.3,0.4,True,False,True,False,False,False,True,False,True,False
28,2067,12,1197.5,99.79,64.65,261,0.5807984696766422,0,3,3,1,1,4,0.25,0.25,0.08333333333333333,0.08333333333333333,0.3333333333333333,True,False,False,False,True,False,False,True,True,False
36,2190,4,791.95,197.99,48.47,137,1.152342810013813,0,1,0,0,0,3,0.25,0.0,0.0,0.0,0.75,False,False,False,True,False,False,False,True,True,False
28,2045,9,1213.07,134.79,88.41,283,0.78450571928765,0,1,2,2,0,4,0.1111111111111111,0.2222222222222222,0.2222222222222222,0.0,0.4444444444444444,True,False,False,True,False,False,True,False,True,False
16,1977,13,1765.87,135.84,106.8,349,0.7906169367759803,0,0,1,5,2,5,0.0,0.07692307692307693,0.38461538461538464,0.15384615384615385,0.38461538461538464,False,False,False,False,True,False,False,True,True,False
35,2178,3,319.05,106.35,76.44,41,0.6189790284608767,0,2,0,0,1,0,0.6666666666666666,0.0,0.0,0.3333333333333333,0.0,True,False,False,False,False,False,False,True,True,False
22,1965,9,1809.65,201.07,120.67,364,1.1702690479795814,0,0,4,2,2,1,0.0,0.4444444444444444,0.2222222222222222,0.2222222222222222,0.1111111111111111,True,False,True,False,False,True,False,False,True,False
40,2042,8,1086.73,135.84,103.73,283,0.7906169367759803,0,1,3,1,1,2,0.125,0.375,0.125,0.125,0.25,False,False,True,False,False,False,False,True,True,False
23,2214,10,1065.38,106.54,70.54,114,0.620084867815908,0,1,1,1,3,4,0.1,0.1,0.1,0.3,0.4,False,False,False,False,True,True,False,False,True,False
53,2244,4,421.92,105.48,86.85,78,0.6139154482562603,0,1,0,0,0,3,0.25,0.0,0.0,0.0,0.75,True,False,False,False,True,True,False,False,True,False
25,2226,1,110.57,110.57,0.0,0,0.6435403025568326,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0,False,False,True,False,False,False,False,False,False,False
31,1755,8,1402.9,175.36,142.63,570,1.020631522622467,0,1,3,3,1,0,0.125,0.375,0.375,0.125,0.0,True,False,False,True,False,False,False,False,True,False
44,2113,5,1576.9,315.38,174.01,158,1.8355769252091332,0,1,1,0,2,1,0.2,0.2,0.0,0.4,0.2,False,False,False,False,True,False,False,False,True,False
20,2198,10,1375.57,137.56,110.86,129,0.8006276930425784,0,1,2,2,1,4,0.1,0.2,0.2,0.1,0.4,True,False,False,False,False,True,False,False,True,False
37,2283,7,963.84,137.69,93.91,41,0.8013843199697049,0,1,0,3,1,2,0.14285714285714285,0.0,0.42857142857142855,0.14285714285714285,0.2857142857142857,True,False,False,False,True,True,False,False,True,False
50,2069,8,2057.93,257.24,282.49,256,1.4971900825695905,0,2,3,0,0,3,0.25,0.375,0.0,0.0,0.375,True,False,False,False,True,True,False,False,True,False
15,2164,9,1461.24,162.36,95.37,162,0.9449688299098069,0,1,1,2,0,5,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.0,0.5555555555555556,True,True,False,False,False,False,False,False,False,False
37,1976,5,1197.79,239.56,121.56,308,1.3942888204803727,0,1,2,0,0,2,0.2,0.4,0.0,0.0,0.4,True,False,False,False,True,False,False,True,True,False
38,2089,7,1028.85,146.98,64.15,230,0.8554540442235982,0,1,1,2,2,1,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.14285714285714285,False,False,False,False,True,False,False,True,True,False
