id_cliente,idade,genero,cidade,canal_aquisicao,churn,recencia_dias,frequencia_compras,valor_total,ticket_medio,std_valor,cliente_sem_compra,compras_beleza,compras_casa,compras_eletrônicos,compras_esportes,compras_moda,metodo_preferido,dias_entre_compras,prop_compras_beleza,prop_compras_casa,prop_compras_eletrônicos,prop_compras_esportes,prop_compras_moda,ticket_medio_rel,score_churn,segmento
93,26,F,RJ,Indicação,0,2159,7,788.54,112.65,62.81,0,1,1,1,2,2,Cartão,172,0.1428571428571428,0.1428571428571428,0.1428571428571428,0.2857142857142857,0.2857142857142857,0.6556463333908582,0.1627621173493657,Muito Baixo
94,31,F,BSB,Facebook,1,2152,5,627.86,125.57,77.22,0,0,1,1,2,1,Cartão,171,0.0,0.2,0.2,0.4,0.2,0.7308434095329788,0.6841736816077769,Alto
95,30,M,SP,Facebook,0,2058,11,1279.54,116.32,97.13,0,1,1,4,2,3,Cartão,262,0.0909090909090909,0.0909090909090909,0.3636363636363636,0.1818181818181818,0.2727272727272727,0.6770064935643553,0.0949821700354173,Muito Baixo
96,17,M,RJ,Google,0,2058,10,1821.37,182.14,96.53,0,1,2,2,2,3,Cartão,271,0.1,0.2,0.2,0.2,0.3,1.060092526975685,0.09504722383187561,Muito Baixo
97,38,M,SP,Orgânico,0,2101,7,1106.95,158.14,75.22,0,1,1,2,2,1,Cartão,233,0.1428571428571428,0.1428571428571428,0.2857142857142857,0.2857142857142857,0.1428571428571428,0.9204075558138508,0.21106845177634953,Baixo
98,38,M,SP,Indicação,0,1944,9,1537.62,170.85,112.47,0,0,1,3,2,3,Cartão,389,0.0,0.1111111111111111,0.3333333333333333,0.2222222222222222,0.3333333333333333,0.9943823884583056,0.034826339950291746,Muito Baixo
99,35,M,SP,Facebook,1,1911,5,937.55,187.51,81.85,0,1,1,2,0,1,Cartão,399,0.2,0.2,0.4,0.0,0.2,1.0913470392731452,0.6569284688437507,Alto
100,32,F,BH,Facebook,0,2062,5,829.41,165.88,146.81,0,0,1,0,1,3,Cartão,231,0.0,0.2,0.0,0.2,0.6,0.9654559590135424,0.41992055050620025,Médio
101,18,M,RJ,Google,0,2107,17,2881.52,169.5,117.26,0,3,5,2,3,4,Cartão,218,0.1764705882352941,0.2941176470588235,0.1176470588235294,0.1764705882352941,0.2352941176470588,0.9865251088304524,0.07154832219423823,Muito Baixo
102,29,F,BSB,Google,0,2081,6,1237.72,206.29,150.51,0,1,1,1,1,2,Cartão,228,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.3333333333333333,1.2006505292072804,0.38203282968334645,Baixo
103,30,F,BH,Indicação,0,1986,3,532.15,177.38,43.58,0,1,0,0,0,2,Cartão,246,0.3333333333333333,0.0,0.0,0.0,0.6666666666666666,1.032388341028588,0.18107710315597556,Muito Baixo
104,25,F,BSB,Indicação,1,2214,6,1045.12,174.19,105.1,0,3,2,1,0,0,Cartão,112,0.5,0.3333333333333333,0.1666666666666666,0.0,0.0,1.0138218802783274,0.7045518957200472,Alto
105,33,M,SP,Facebook,0,1943,9,964.49,107.17,65.4,0,0,1,2,2,4,Cartão,381,0.0,0.1111111111111111,0.2222222222222222,0.2222222222222222,0.4444444444444444,0.6237515983089061,0.09037403370478364,Muito Baixo
106,39,M,SP,Orgânico,1,1847,8,973.35,121.67,86.63,0,2,0,1,0,5,Cartão,467,0.25,0.0,0.125,0.0,0.625,0.7081446017191808,0.4698660029338803,Médio
107,57,M,POA,Indicação,1,2224,4,1139.5,284.88,50.49,0,1,1,1,0,1,Cartão,93,0.25,0.25,0.25,0.0,0.25,1.6580606076909692,0.49040918193274696,Médio
108,37,M,BH,Facebook,1,1947,8,1274.37,159.3,92.3,0,2,1,0,3,2,Cartão,320,0.25,0.125,0.0,0.375,0.25,0.9271589960866732,0.6835198836262352,Alto
109,38,F,BSB,Google,1,1934,5,834.06,166.81,60.27,0,0,1,1,0,3,Cartão,363,0.0,0.2,0.2,0.0,0.6,0.9708687516460636,0.5902101875715905,Médio
110,34,F,SP,Orgânico,0,2134,6,607.53,101.26,49.78,0,2,1,1,0,2,Cartão,185,0.3333333333333333,0.1666666666666666,0.1666666666666666,0.0,0.3333333333333333,0.5893541741603046,0.2699523835376913,Baixo
111,11,F,SP,Indicação,0,2058,8,1321.2,165.15,181.18,0,0,1,3,1,3,Cartão,267,0.0,0.125,0.375,0.125,0.375,0.96120720780737,0.11652499438100991,Muito Baixo
112,34,M,BH,Google,0,2269,3,714.0,238.0,159.5,0,0,0,1,0,2,Cartão,31,0.0,0.0,0.3333333333333333,0.0,0.6666666666666666,1.3852092973548535,0.364231048113251,Baixo
113,35,M,SP,Indicação,0,1869,9,2232.68,248.08,125.73,0,1,1,2,1,4,Cartão,457,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.1111111111111111,0.4444444444444444,1.443876985242824,0.043881857275671156,Muito Baixo
114,64,M,RJ,Facebook,1,2273,1,360.36,360.36,0.0,0,0,0,0,0,1,Cartão,0,0.0,0.0,0.0,0.0,1.0,2.0973698419949374,0.603970808557592,Alto
115,32,M,RJ,Orgânico,1,2042,6,676.87,112.81,70.49,0,0,3,1,1,1,Cartão,241,0.0,0.5,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.6565775665319371,0.5330236058491087,Médio
116,38,M,SP,Orgânico,0,1839,7,1277.68,182.53,122.17,0,0,2,1,0,4,Cartão,492,0.0,0.2857142857142857,0.1428571428571428,0.0,0.5714285714285714,1.0623624077570648,0.24436079101131777,Baixo
117,34,M,SP,Indicação,0,1983,8,978.98,122.37,90.68,0,0,0,3,4,1,Cartão,346,0.0,0.0,0.375,0.5,0.125,0.712218746711401,0.11926885951042235,Muito Baixo
118,20,F,SP,Orgânico,0,2103,7,476.52,68.07,34.92,0,0,2,3,0,2,Cartão,211,0.0,0.2857142857142857,0.4285714285714285,0.0,0.2857142857142857,0.3961814994577515,0.3113271440433965,Baixo
119,48,F,SP,Google,0,2114,7,1528.14,218.31,109.77,0,2,1,2,1,1,Cartão,210,0.2857142857142857,0.1428571428571428,0.2857142857142857,0.1428571428571428,0.1428571428571428,1.2706094189308323,0.28537261733995345,Baixo
120,44,M,RJ,Indicação,0,2117,6,701.76,116.96,91.95,0,0,2,1,1,2,Cartão,185,0.0,0.3333333333333333,0.1666666666666666,0.1666666666666666,0.3333333333333333,0.6807314261286709,0.2369231034586655,Baixo
121,44,F,SP,Orgânico,0,2093,5,1180.48,236.1,102.07,0,1,2,0,0,2,Cartão,218,0.2,0.4,0.0,0.0,0.4,1.3741509038045416,0.29086305781643534,Baixo
122,24,F,SP,Facebook,0,2058,8,942.9,117.86,79.19,0,4,0,0,1,3,Cartão,262,0.5,0.0,0.0,0.125,0.375,0.6859696125472396,0.3302062776996941,Baixo
123,51,F,BSB,Indicação,0,1796,10,1954.44,195.44,153.96,0,4,3,1,2,0,Cartão,526,0.4,0.3,0.1,0.2,0.0,1.137501281827868,0.10640209347818037,Muito Baixo
124,18,F,RJ,Orgânico,1,1898,8,1235.84,154.48,106.0,0,3,0,2,0,3,Pix,426,0.375,0.0,0.25,0.0,0.375,0.8991055977116713,0.5267142329348792,Médio
125,42,M,SP,Google,0,2171,10,1774.86,177.49,135.92,0,0,1,5,2,2,Cartão,152,0.0,0.1,0.5,0.2,0.2,1.0330285638130796,0.1729625687607259,Muito Baixo
126,61,F,BH,Google,0,2130,7,1389.31,198.47,155.51,0,0,1,2,1,3,Cartão,196,0.0,0.1428571428571428,0.2857142857142857,0.1428571428571428,0.4285714285714285,1.1551365094370496,0.33084915211205573,Baixo
127,23,M,POA,Indicação,0,2189,10,1680.25,168.02,118.55,0,2,0,1,3,4,Cartão,139,0.2,0.0,0.1,0.3,0.4,0.9779112022754728,0.06194493497976632,Muito Baixo
