id_cliente,idade,genero,cidade,canal_aquisicao,churn,recencia_dias,frequencia_compras,valor_total,ticket_medio,std_valor,cliente_sem_compra,compras_beleza,compras_casa,compras_eletrônicos,compras_esportes,compras_moda,metodo_preferido,dias_entre_compras,prop_compras_eletrônicos,prop_compras_moda,prop_compras_casa,prop_compras_esportes,prop_compras_beleza,ticket_medio_relativo
35,44,F,SP,Orgânico,1,2257,8,1595.07,199.38,140.57,0,0,2,1,3,2,Boleto,85,0.125,0.25,0.25,0.375,0.0,1.1604328979269358
36,20,F,BH,Google,0,2262,4,438.52,109.63,108.57,0,2,1,1,0,0,Cartão,81,0.25,0.0,0.25,0.0,0.5,0.6380693078529941
37,37,F,RJ,Orgânico,1,2040,4,773.68,193.42,167.85,0,0,1,1,0,2,Cartão,299,0.25,0.5,0.25,0.0,0.0,1.1257444634217468
38,11,M,POA,Facebook,1,2220,8,1224.94,153.12,117.04,0,0,2,2,2,2,Cartão,120,0.25,0.25,0.25,0.25,0.0,0.8911901160125008
39,19,F,BH,Google,0,2094,10,1686.47,168.65,132.93,0,3,3,1,0,3,Cartão,239,0.1,0.3,0.3,0.0,0.3,0.9815779327684708
40,37,M,SP,Indicação,0,1887,9,851.73,94.64,60.41,0,0,1,0,3,5,Cartão,412,0.0,0.5555555555555556,0.1111111111111111,0.3333333333333333,0.0,0.5508244029481653
41,43,F,BSB,Indicação,0,2093,9,2328.17,258.69,157.07,0,1,2,3,0,3,Cartão,249,0.3333333333333333,0.3333333333333333,0.2222222222222222,0.0,0.1111111111111111,1.505629382910618
42,37,M,SP,Google,0,1968,9,1488.53,165.39,110.83,0,1,2,2,2,2,Cartão,347,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.9626040575189883
43,33,F,SP,Indicação,0,2035,9,1354.29,150.48,64.53,0,2,2,2,1,2,Cartão,299,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.2222222222222222,0.875824769184699
44,31,F,BH,Indicação,0,2137,7,1103.89,157.7,109.22,0,2,2,1,1,1,Boleto,179,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.2857142857142857,0.917846664675884
45,17,M,BSB,Google,0,2051,13,1726.04,132.77,58.55,0,3,2,4,0,4,Cartão,285,0.3076923076923077,0.3076923076923077,0.15384615384615385,0.0,0.23076923076923078,0.7727489008815291
46,26,F,RJ,Facebook,0,2262,3,614.31,204.77,44.66,0,0,0,1,1,1,Cartão,67,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,1.191803814367031
47,29,F,SP,Indicação,0,2028,11,1948.54,177.14,88.19,0,2,3,2,0,4,Cartão,309,0.18181818181818182,0.36363636363636365,0.2727272727272727,0.0,0.18181818181818182,1.0309914913169695
48,47,F,SP,Google,0,2248,7,945.28,135.04,78.38,0,1,1,2,1,2,Cartão,88,0.2857142857142857,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.7859607710705858
49,39,F,SP,Orgânico,0,2194,7,1431.43,204.49,107.74,0,1,1,2,1,2,Cartão,123,0.2857142857142857,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.14285714285714285,1.190174156370143
50,13,F,SP,Google,0,2239,8,1321.15,165.14,118.37,0,1,3,1,2,1,Cartão,92,0.125,0.125,0.375,0.25,0.125,0.9611490057360526
51,38,M,SP,Google,0,2136,7,1221.69,174.53,100.25,0,2,0,3,0,2,Cartão,197,0.42857142857142855,0.2857142857142857,0.0,0.0,0.2857142857142857,1.0158007507031201
52,30,M,RJ,Google,0,2210,5,1135.32,227.06,170.59,0,3,0,1,0,1,Boleto,124,0.2,0.2,0.0,0.0,0.6,1.3215362313335843
53,26,F,POA,Indicação,1,2126,3,171.35,57.12,27.6,0,0,1,1,1,0,Pix,198,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,0.33245023136516483
54,42,F,SP,Indicação,0,2025,9,1650.12,183.35,152.59,0,2,2,1,1,3,Cartão,315,0.1111111111111111,0.3333333333333333,0.2222222222222222,0.1111111111111111,0.2222222222222222,1.067134977605094
55,47,M,SP,Facebook,0,2021,10,1856.92,185.69,143.32,0,1,2,0,5,2,Cartão,317,0.0,0.2,0.2,0.5,0.1,1.080754262293373
56,46,M,BSB,Google,0,1739,6,1017.89,169.65,108.09,0,1,0,1,0,4,Cartão,568,0.16666666666666666,0.6666666666666666,0.0,0.0,0.16666666666666666,0.987398139900214
57,24,F,BH,Orgânico,0,2191,7,615.64,87.95,51.03,0,1,2,2,0,2,Cartão,143,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.0,0.14285714285714285,0.5118872172368041
58,31,M,POA,Google,0,2153,4,271.87,67.97,64.96,0,1,0,1,1,1,Boleto,145,0.25,0.25,0.0,0.25,0.25,0.3955994787445773
59,38,F,SP,Google,0,2079,9,1458.91,162.1,84.2,0,1,4,3,0,1,Cartão,252,0.3333333333333333,0.1111111111111111,0.4444444444444444,0.0,0.1111111111111111,0.9434555760555536
60,46,F,SP,Google,0,1850,8,1013.63,126.7,70.8,0,2,3,0,0,3,Cartão,485,0.0,0.375,0.375,0.0,0.25,0.7374202435918485
61,29,F,RJ,Google,0,2150,6,544.99,90.83,89.84,0,2,2,2,0,0,Cartão,169,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.5286494137762241
62,32,F,RJ,Facebook,1,2142,12,2471.22,205.94,114.14,0,2,3,1,3,3,Cartão,197,0.08333333333333333,0.25,0.25,0.25,0.16666666666666666,1.1986134567111704
63,21,M,RJ,Google,0,2000,12,1616.43,134.7,105.46,0,2,2,2,2,4,Cartão,326,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.7839819006457931
64,20,M,RJ,Google,0,2190,10,1275.66,127.57,120.6,0,1,2,2,1,4,Cartão,145,0.2,0.4,0.2,0.1,0.1,0.7424838237964649
65,44,M,SP,Orgânico,0,2270,3,384.8,128.27,25.96,0,0,0,0,0,3,Cartão,68,0.0,1.0,0.0,0.0,0.0,0.7465579687886852
66,51,F,RJ,Google,0,2179,5,587.9,117.58,77.11,0,1,1,2,0,1,Cartão,147,0.4,0.2,0.2,0.0,0.2,0.6843399545503516
67,34,M,RJ,Orgânico,0,2139,6,749.72,124.95,71.66,0,1,1,2,1,1,Cartão,191,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.7272348811112982
68,47,F,RJ,Indicação,0,2180,11,3176.56,288.78,284.52,0,1,2,3,2,3,Cartão,154,0.2727272727272727,0.2727272727272727,0.18181818181818182,0.18181818181818182,0.09090909090909091,1.6807594155047672
69,39,F,RJ,Facebook,1,2110,6,746.04,124.34,102.15,0,1,1,1,1,2,Cartão,189,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.7236845547609349
70,27,M,RJ,Indicação,0,2185,6,1306.66,217.78,168.7,0,1,0,0,2,3,Cartão,133,0.0,0.5,0.0,0.3333333333333333,0.16666666666666666,1.2675247091510085
71,39,F,SP,Facebook,1,2082,6,987.67,164.61,102.52,0,0,1,4,0,1,Cartão,213,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,0.9580642959562289
72,53,F,SP,Google,0,2090,7,1338.3,191.19,122.25,0,1,2,1,1,2,Cartão,229,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.14285714285714285,0.14285714285714285,1.11276540151796
73,34,F,RJ,Orgânico,0,2020,9,1050.09,116.68,71.24,0,2,2,1,1,3,Cartão,290,0.1111111111111111,0.3333333333333333,0.2222222222222222,0.1111111111111111,0.2222222222222222,0.6791017681317829
74,53,M,SP,Indicação,1,1838,4,1002.96,250.74,141.05,0,2,1,1,0,0,Boleto,478,0.25,0.0,0.25,0.0,0.5,1.4593587362132605
75,3,F,RJ,Orgânico,0,2055,9,1121.94,124.66,84.32,0,2,1,3,3,0,Cartão,279,0.3333333333333333,0.0,0.1111111111111111,0.3333333333333333,0.2222222222222222,0.7255470210430927
76,44,M,BSB,Orgânico,0,2196,3,770.03,256.68,359.07,0,1,0,0,0,2,Cartão,108,0.0,0.6666666666666666,0.0,0.0,0.3333333333333333,1.4939307665758144
77,36,F,SP,Google,0,1938,7,988.99,141.28,112.44,0,0,3,1,0,3,Cartão,393,0.14285714285714285,0.42857142857142855,0.42857142857142855,0.0,0.0,0.8222788635726627
78,31,M,SP,Google,0,2224,7,1355.45,193.64,148.79,0,0,0,3,0,4,Cartão,109,0.42857142857142855,0.5714285714285714,0.0,0.0,0.0,1.1270249089907303
79,36,F,POA,Google,0,1994,5,716.52,143.3,90.97,0,1,1,0,1,2,Cartão,321,0.0,0.4,0.2,0.2,0.2,0.8340356819787837
80,11,M,SP,Orgânico,1,2061,10,1338.74,133.87,95.98,0,2,1,3,1,3,Cartão,256,0.3,0.3,0.1,0.1,0.2,0.7791511287264464
81,32,M,SP,Orgânico,0,2230,8,1431.75,178.97,137.95,0,2,3,2,0,1,Cartão,102,0.25,0.125,0.375,0.0,0.25,1.0416424703680593
82,39,F,SP,Indicação,0,1927,14,2402.07,171.58,106.31,0,1,1,8,0,4,Cartão,409,0.5714285714285714,0.2857142857142857,0.07142857142857142,0.0,0.07142857142857142,0.9986311396644781
83,52,F,BH,Google,0,2294,2,914.17,457.08,528.85,0,0,0,0,1,1,Boleto,33,0.0,0.5,0.0,0.5,0.0,2.660300275777128
84,28,F,SP,Google,0,2143,14,1963.98,140.28,128.19,0,3,2,5,1,3,Cartão,192,0.35714285714285715,0.21428571428571427,0.14285714285714285,0.07142857142857142,0.21428571428571427,0.8164586564409196
85,25,F,RJ,Orgânico,0,2143,6,858.76,143.13,92.8,0,2,1,1,2,0,Boleto,167,0.16666666666666666,0.0,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.8330462467663874
86,28,M,RJ,Orgânico,0,2096,6,1039.89,173.31,82.3,0,1,1,1,2,1,Cartão,239,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.16666666666666666,1.0087000980023937
87,45,F,SP,Google,1,2192,6,999.8,166.63,100.02,0,1,1,1,0,3,Cartão,125,0.16666666666666666,0.5,0.16666666666666666,0.0,0.16666666666666666,0.9698211143623497
88,38,M,SP,Google,0,2131,8,1337.15,167.14,114.26,0,1,0,2,0,5,Cartão,192,0.25,0.625,0.0,0.0,0.125,0.9727894199995387
89,28,F,BH,Facebook,0,2169,4,699.49,174.87,66.0,0,0,2,1,1,0,Cartão,118,0.25,0.0,0.5,0.25,0.0,1.0177796211279129
90,41,M,RJ,Google,0,2044,6,801.21,133.54,28.8,0,1,1,3,0,1,Cartão,280,0.5,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.7772304603729712
91,36,M,SP,Orgânico,0,2085,5,1042.83,208.57,126.91,0,0,1,3,0,1,Cartão,241,0.6,0.2,0.2,0.0,0.0,1.2139206014676547
92,46,M,SP,Facebook,0,2050,10,1885.01,188.5,124.72,0,4,0,2,3,1,Cartão,285,0.2,0.1,0.0,0.3,0.4,1.097109044333571
93,26,F,RJ,Indicação,0,2159,7,788.54,112.65,62.81,0,1,1,1,2,2,Cartão,172,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.6556463333908582
94,31,F,BSB,Facebook,1,2152,5,627.86,125.57,77.22,0,0,1,1,2,1,Cartão,171,0.2,0.2,0.2,0.4,0.0,0.7308434095329788
95,30,M,SP,Facebook,0,2058,11,1279.54,116.32,97.13,0,1,1,4,2,3,Cartão,262,0.36363636363636365,0.2727272727272727,0.09090909090909091,0.18181818181818182,0.09090909090909091,0.6770064935643553
96,17,M,RJ,Google,0,2058,10,1821.37,182.14,96.53,0,1,2,2,2,3,Cartão,271,0.2,0.3,0.2,0.2,0.1,1.060092526975685
97,38,M,SP,Orgânico,0,2101,7,1106.95,158.14,75.22,0,1,1,2,2,1,Cartão,233,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.9204075558138509
98,38,M,SP,Indicação,0,1944,9,1537.62,170.85,112.47,0,0,1,3,2,3,Cartão,389,0.3333333333333333,0.3333333333333333,0.1111111111111111,0.2222222222222222,0.0,0.9943823884583056
99,35,M,SP,Facebook,1,1911,5,937.55,187.51,81.85,0,1,1,2,0,1,Cartão,399,0.4,0.2,0.2,0.0,0.2,1.0913470392731452
100,32,F,BH,Facebook,0,2062,5,829.41,165.88,146.81,0,0,1,0,1,3,Cartão,231,0.0,0.6,0.2,0.2,0.0,0.9654559590135424
101,18,M,RJ,Google,0,2107,17,2881.52,169.5,117.26,0,3,5,2,3,4,Cartão,218,0.11764705882352941,0.23529411764705882,0.29411764705882354,0.17647058823529413,0.17647058823529413,0.9865251088304524
102,29,F,BSB,Google,0,2081,6,1237.72,206.29,150.51,0,1,1,1,1,2,Cartão,228,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.16666666666666666,1.2006505292072804
103,30,F,BH,Indicação,0,1986,3,532.15,177.38,43.58,0,1,0,0,0,2,Cartão,246,0.0,0.6666666666666666,0.0,0.0,0.3333333333333333,1.032388341028588
104,25,F,BSB,Indicação,1,2214,6,1045.12,174.19,105.1,0,3,2,1,0,0,Cartão,112,0.16666666666666666,0.0,0.3333333333333333,0.0,0.5,1.0138218802783274
105,33,M,SP,Facebook,0,1943,9,964.49,107.17,65.4,0,0,1,2,2,4,Cartão,381,0.2222222222222222,0.4444444444444444,0.1111111111111111,0.2222222222222222,0.0,0.6237515983089061
106,39,M,SP,Orgânico,1,1847,8,973.35,121.67,86.63,0,2,0,1,0,5,Cartão,467,0.125,0.625,0.0,0.0,0.25,0.7081446017191808
107,57,M,POA,Indicação,1,2224,4,1139.5,284.88,50.49,0,1,1,1,0,1,Cartão,93,0.25,0.25,0.25,0.0,0.25,1.6580606076909692
108,37,M,BH,Facebook,1,1947,8,1274.37,159.3,92.3,0,2,1,0,3,2,Cartão,320,0.0,0.25,0.125,0.375,0.25,0.9271589960866731
109,38,F,BSB,Google,1,1934,5,834.06,166.81,60.27,0,0,1,1,0,3,Cartão,363,0.2,0.6,0.2,0.0,0.0,0.9708687516460636
110,34,F,SP,Orgânico,0,2134,6,607.53,101.26,49.78,0,2,1,1,0,2,Cartão,185,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.0,0.3333333333333333,0.5893541741603046
111,11,F,SP,Indicação,0,2058,8,1321.2,165.15,181.18,0,0,1,3,1,3,Cartão,267,0.375,0.375,0.125,0.125,0.0,0.9612072078073701
112,34,M,BH,Google,0,2269,3,714.0,238.0,159.5,0,0,0,1,0,2,Cartão,31,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,1.3852092973548535
113,35,M,SP,Indicação,0,1869,9,2232.68,248.08,125.73,0,1,1,2,1,4,Cartão,457,0.2222222222222222,0.4444444444444444,0.1111111111111111,0.1111111111111111,0.1111111111111111,1.443876985242824
114,64,M,RJ,Facebook,1,2273,1,360.36,360.36,0.0,0,0,0,0,0,1,Cartão,0,0.0,1.0,0.0,0.0,0.0,2.0973698419949374
115,32,M,RJ,Orgânico,1,2042,6,676.87,112.81,70.49,0,0,3,1,1,1,Cartão,241,0.16666666666666666,0.16666666666666666,0.5,0.16666666666666666,0.0,0.6565775665319371
116,38,M,SP,Orgânico,0,1839,7,1277.68,182.53,122.17,0,0,2,1,0,4,Cartão,492,0.14285714285714285,0.5714285714285714,0.2857142857142857,0.0,0.0,1.0623624077570648
117,34,M,SP,Indicação,0,1983,8,978.98,122.37,90.68,0,0,0,3,4,1,Cartão,346,0.375,0.125,0.0,0.5,0.0,0.712218746711401
118,20,F,SP,Orgânico,0,2103,7,476.52,68.07,34.92,0,0,2,3,0,2,Cartão,211,0.42857142857142855,0.2857142857142857,0.2857142857142857,0.0,0.0,0.39618149945775155
119,48,F,SP,Google,0,2114,7,1528.14,218.31,109.77,0,2,1,2,1,1,Cartão,210,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.2857142857142857,1.2706094189308323
120,44,M,RJ,Indicação,0,2117,6,701.76,116.96,91.95,0,0,2,1,1,2,Cartão,185,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.0,0.6807314261286709
121,44,F,SP,Orgânico,0,2093,5,1180.48,236.1,102.07,0,1,2,0,0,2,Cartão,218,0.0,0.4,0.4,0.0,0.2,1.3741509038045416
122,24,F,SP,Facebook,0,2058,8,942.9,117.86,79.19,0,4,0,0,1,3,Cartão,262,0.0,0.375,0.0,0.125,0.5,0.6859696125472396
123,51,F,BSB,Indicação,0,1796,10,1954.44,195.44,153.96,0,4,3,1,2,0,Cartão,526,0.1,0.0,0.3,0.2,0.4,1.137501281827868
124,18,F,RJ,Orgânico,1,1898,8,1235.84,154.48,106.0,0,3,0,2,0,3,Pix,426,0.25,0.375,0.0,0.0,0.375,0.8991055977116713
125,42,M,SP,Google,0,2171,10,1774.86,177.49,135.92,0,0,1,5,2,2,Cartão,152,0.5,0.2,0.1,0.2,0.0,1.0330285638130796
126,61,F,BH,Google,0,2130,7,1389.31,198.47,155.51,0,0,1,2,1,3,Cartão,196,0.2857142857142857,0.42857142857142855,0.14285714285714285,0.14285714285714285,0.0,1.1551365094370496
127,23,M,POA,Indicação,0,2189,10,1680.25,168.02,118.55,0,2,0,1,3,4,Cartão,139,0.1,0.4,0.0,0.3,0.2,0.9779112022754728
128,28,M,SP,Orgânico,0,2067,12,1197.5,99.79,64.65,0,3,3,1,1,4,Cartão,261,0.08333333333333333,0.3333333333333333,0.25,0.08333333333333333,0.25,0.5807984696766422
129,36,F,RJ,Orgânico,0,2190,4,791.95,197.99,48.47,0,1,0,0,0,3,Cartão,137,0.0,0.75,0.0,0.0,0.25,1.152342810013813
130,28,M,RJ,Indicação,0,2045,9,1213.07,134.79,88.41,0,1,2,2,0,4,Cartão,283,0.2222222222222222,0.4444444444444444,0.2222222222222222,0.0,0.1111111111111111,0.78450571928765
131,16,F,SP,Orgânico,0,1977,13,1765.87,135.84,106.8,0,0,1,5,2,5,Cartão,349,0.38461538461538464,0.38461538461538464,0.07692307692307693,0.15384615384615385,0.0,0.7906169367759803
132,35,M,BH,Orgânico,0,2178,3,319.05,106.35,76.44,0,2,0,0,1,0,Cartão,41,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.6189790284608767
133,22,M,POA,Google,0,1965,9,1809.65,201.07,120.67,0,0,4,2,2,1,Cartão,364,0.2222222222222222,0.1111111111111111,0.4444444444444444,0.2222222222222222,0.0,1.1702690479795814
134,40,F,POA,Orgânico,0,2042,8,1086.73,135.84,103.73,0,1,3,1,1,2,Cartão,283,0.125,0.25,0.375,0.125,0.125,0.7906169367759803
135,23,F,SP,Google,0,2214,10,1065.38,106.54,70.54,0,1,1,1,3,4,Cartão,114,0.1,0.4,0.1,0.3,0.1,0.620084867815908
136,53,M,SP,Google,0,2244,4,421.92,105.48,86.85,0,1,0,0,0,3,Cartão,78,0.0,0.75,0.0,0.0,0.25,0.6139154482562603
137,25,F,POA,Facebook,1,2226,1,110.57,110.57,0.0,0,0,0,0,0,1,Boleto,0,0.0,1.0,0.0,0.0,0.0,0.6435403025568326
138,31,M,RJ,Facebook,0,1755,8,1402.9,175.36,142.63,0,1,3,3,1,0,Cartão,570,0.375,0.0,0.375,0.125,0.125,1.020631522622467
139,44,F,SP,Facebook,0,2113,5,1576.9,315.38,174.01,0,1,1,0,2,1,Cartão,158,0.0,0.2,0.2,0.4,0.2,1.8355769252091332
140,20,M,BH,Google,0,2198,10,1375.57,137.56,110.86,0,1,2,2,1,4,Cartão,129,0.2,0.4,0.2,0.1,0.1,0.8006276930425784
141,37,M,SP,Google,1,2283,7,963.84,137.69,93.91,0,1,0,3,1,2,Cartão,41,0.42857142857142855,0.2857142857142857,0.0,0.14285714285714285,0.14285714285714285,0.8013843199697049
142,50,M,SP,Google,1,2069,8,2057.93,257.24,282.49,0,2,3,0,0,3,Cartão,256,0.0,0.375,0.375,0.0,0.25,1.4971900825695905
143,15,M,BSB,Facebook,0,2164,9,1461.24,162.36,95.37,0,1,1,2,0,5,Boleto,162,0.2222222222222222,0.5555555555555556,0.1111111111111111,0.0,0.1111111111111111,0.9449688299098069
144,37,M,SP,Orgânico,0,1976,5,1197.79,239.56,121.56,0,1,2,0,0,2,Cartão,308,0.0,0.4,0.4,0.0,0.2,1.3942888204803727
145,38,F,SP,Orgânico,0,2089,7,1028.85,146.98,64.15,0,1,1,2,2,1,Cartão,230,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.8554540442235982
146,44,M,SP,Orgânico,0,2171,4,519.53,129.88,70.26,0,0,0,1,1,2,Cartão,156,0.25,0.5,0.0,0.25,0.0,0.7559285022707914
147,20,F,RJ,Facebook,0,2213,9,1384.2,153.8,88.48,0,0,1,2,2,4,Cartão,111,0.2222222222222222,0.4444444444444444,0.1111111111111111,0.2222222222222222,0.0,0.8951478568620861
148,19,F,SP,Orgânico,0,1927,6,599.01,99.84,81.0,0,1,2,1,1,1,Cartão,366,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.5810894800332294
