id_cliente,idade,genero,cidade,canal_aquisicao,churn
100,32,F,BH,Facebook,0
101,18,M,RJ,Google,0
102,29,F,BSB,Google,0
103,30,F,BH,Indicação,0
104,25,F,BSB,Indicação,1
105,33,M,SP,Facebook,0
106,39,M,SP,Orgânico,1
107,57,M,POA,Indicação,1
108,37,M,BH,Facebook,1
109,38,F,BSB,Google,1
110,34,F,SP,Orgânico,0
111,11,F,SP,Indicação,0
112,34,M,BH,Google,0
113,35,M,SP,Indicação,0
114,64,M,RJ,Facebook,1
115,32,M,RJ,Orgânico,1
116,38,M,SP,Orgânico,0
117,34,M,SP,Indicação,0
118,20,F,SP,Orgânico,0
119,48,F,SP,Google,0
120,44,M,RJ,Indicação,0
121,44,F,SP,Orgânico,0
122,24,F,SP,Facebook,0
123,51,F,BSB,Indicação,0
124,18,F,RJ,Orgânico,1
125,42,M,SP,Google,0
126,61,F,BH,Google,0
127,23,M,POA,Indicação,0
128,28,M,SP,Orgânico,0
129,36,F,RJ,Orgânico,0
130,28,M,RJ,Indicação,0
131,16,F,SP,Orgânico,0
132,35,M,BH,Orgânico,0
133,22,M,POA,Google,0
134,40,F,POA,Orgânico,0
135,23,F,SP,Google,0
136,53,M,SP,Google,0
137,25,F,POA,Facebook,1
138,31,M,RJ,Facebook,0
139,44,F,SP,Facebook,0
140,20,M,BH,Google,0
141,37,M,SP,Google,1
142,50,M,SP,Google,1
143,15,M,BSB,Facebook,0
144,37,M,SP,Orgânico,0
145,38,F,SP,Orgânico,0
146,44,M,SP,Orgânico,0
147,20,F,RJ,Facebook,0
148,19,F,SP,Orgânico,0
149,41,M,RJ,Google,0
150,38,M,RJ,Google,0
151,38,F,BSB,Indicação,0
152,39,M,SP,Indicação,0
153,26,M,BSB,Orgânico,1
154,37,F,SP,Indicação,0
155,38,F,RJ,Google,0
156,26,F,RJ,Orgânico,0
157,57,F,SP,Indicação,0
158,40,F,BH,Orgânico,0
159,20,F,SP,Orgânico,0
160,42,M,SP,Google,0
161,23,F,SP,Google,1
162,44,F,RJ,Google,0
163,48,M,SP,Google,0
164,25,M,SP,Google,0
165,46,M,SP,Facebook,0
166,39,M,RJ,Orgânico,0
167,44,M,RJ,Orgânico,0
168,57,M,SP,Orgânico,0
169,32,F,SP,Google,0
170,25,M,RJ,Facebook,0
171,24,M,BH,Indicação,0
172,25,M,BH,Google,1
173,34,M,BSB,Orgânico,0
174,39,F,SP,Orgânico,1
175,38,M,POA,Facebook,0
176,44,M,SP,Orgânico,0
177,35,F,POA,Google,1
178,52,F,SP,Indicação,0
179,31,F,RJ,Google,0
180,67,M,SP,Google,1
181,42,F,SP,Orgânico,1
182,24,F,BSB,Orgânico,0
183,22,F,BH,Indicação,1
184,40,M,POA,Facebook,0
185,32,M,RJ,Indicação,0
186,43,F,RJ,Orgânico,0
187,40,M,SP,Orgânico,0
188,34,M,POA,Orgânico,0
189,24,M,RJ,Orgânico,0
190,16,M,BH,Indicação,0
191,29,M,RJ,Indicação,0
192,45,F,RJ,Google,0
193,37,F,POA,Google,0
194,20,F,SP,Orgânico,0
195,37,F,SP,Orgânico,0
196,39,M,SP,Indicação,0
197,24,F,BH,Facebook,0
198,36,F,SP,Google,0
199,35,M,SP,Facebook,0
200,21,M,SP,Facebook,0
201,39,M,RJ,Facebook,0
202,41,M,RJ,Orgânico,0
203,47,F,SP,Google,0
204,47,M,POA,Indicação,0
205,18,M,POA,Facebook,0
206,23,M,SP,Orgânico,0
207,41,M,BH,Orgânico,0
208,41,M,RJ,Facebook,0
209,41,M,SP,Orgânico,0
210,81,F,SP,Indicação,0
211,41,F,RJ,Google,0
212,48,F,RJ,Indicação,0
213,46,M,SP,Google,1
214,42,M,BSB,Indicação,0
215,31,F,RJ,Orgânico,0
216,44,F,RJ,Orgânico,1
217,25,F,SP,Google,0
218,32,F,RJ,Google,0
219,29,M,SP,Google,0
220,35,F,RJ,Google,1
221,62,M,BH,Google,1
222,12,M,BH,Facebook,0
223,43,M,SP,Orgânico,0
224,15,F,RJ,Orgânico,0
225,29,F,POA,Google,0
226,48,F,RJ,Facebook,0
227,35,M,SP,Google,0
228,22,M,RJ,Google,0
229,26,F,SP,Facebook,0
230,43,M,BSB,Google,1
231,26,F,RJ,Indicação,0
232,37,M,SP,Orgânico,0
233,35,M,SP,Facebook,0
234,27,M,SP,Orgânico,0
235,60,M,POA,Google,0
236,42,M,SP,Orgânico,0
237,10,M,RJ,Google,0
238,37,M,POA,Google,0
239,27,F,SP,Google,0
240,45,M,RJ,Facebook,1
241,25,M,RJ,Indicação,0
242,33,F,RJ,Orgânico,0
243,41,F,SP,Orgânico,1
244,45,F,SP,Facebook,0
245,20,F,RJ,Indicação,0
246,30,M,POA,Indicação,0
247,29,M,SP,Orgânico,0
248,27,F,SP,Orgânico,1
249,56,M,SP,Indicação,0
250,39,F,BSB,Indicação,0
251,19,M,SP,Orgânico,0
252,46,M,BSB,Google,0
253,60,M,SP,Google,0
254,47,M,POA,Indicação,1
255,16,M,RJ,Orgânico,0
256,29,F,RJ,Facebook,0
257,50,M,SP,Orgânico,0
258,26,M,BH,Google,0
259,40,M,SP,Facebook,0
260,44,M,SP,Facebook,0
261,23,M,SP,Orgânico,0
262,34,F,BSB,Google,1
263,-3,M,BH,Facebook,0
264,22,F,RJ,Google,0
265,31,M,RJ,Indicação,1
266,20,M,SP,Orgânico,0
267,54,F,BSB,Facebook,1
268,17,M,BH,Orgânico,0
269,29,M,RJ,Orgânico,0
270,36,F,RJ,Google,1
271,52,M,POA,Orgânico,0
272,17,F,BSB,Google,0
273,48,F,RJ,Google,0
274,35,F,SP,Indicação,0
275,23,M,RJ,Orgânico,0
276,40,M,RJ,Facebook,0
277,37,F,SP,Google,0
278,27,M,SP,Orgânico,0
279,35,F,RJ,Orgânico,1
280,30,M,RJ,Google,0
281,36,F,RJ,Facebook,0
282,42,M,SP,Google,0
283,54,F,BH,Facebook,0
284,20,M,RJ,Indicação,0
285,60,F,SP,Indicação,0
286,11,M,SP,Google,0
287,33,F,BSB,Orgânico,0
288,42,M,BH,Google,0
289,38,M,SP,Indicação,0
290,27,F,POA,Google,1
291,32,M,SP,Facebook,1
292,29,M,POA,Google,0
293,27,M,SP,Indicação,0
294,45,M,SP,Facebook,0
295,39,F,RJ,Google,0
296,26,M,SP,Google,0
297,45,M,RJ,Facebook,0
298,38,F,BH,Google,1
299,44,M,BSB,Indicação,0
300,42,F,RJ,Facebook,1
301,25,M,RJ,Indicação,0
302,28,F,SP,Orgânico,0
303,43,M,SP,Indicação,0
304,42,F,RJ,Orgânico,0
305,34,F,SP,Orgânico,1
306,36,F,BH,Orgânico,0
307,50,M,RJ,Google,0
308,27,F,SP,Orgânico,0
309,41,M,RJ,Orgânico,0
310,32,F,SP,Facebook,0
311,32,F,RJ,Facebook,1
312,48,F,BH,Orgânico,1
313,44,M,RJ,Indicação,0
314,44,M,SP,Facebook,0
315,50,F,BH,Orgânico,0
316,35,F,SP,Facebook,0
317,43,F,BH,Google,0
318,31,F,RJ,Indicação,1
319,38,F,RJ,Indicação,0
320,33,F,BSB,Orgânico,0
321,36,F,BH,Facebook,0
322,42,F,SP,Orgânico,0
323,25,M,SP,Facebook,0
324,60,F,BSB,Indicação,0
325,22,M,SP,Google,0
326,20,F,RJ,Facebook,0
327,48,M,BH,Orgânico,0
328,44,M,RJ,Google,0
329,42,F,BH,Orgânico,1
330,42,M,BH,Google,1
331,34,M,RJ,Google,1
332,24,F,BSB,Google,0
333,35,F,RJ,Orgânico,0
334,26,F,RJ,Google,1
335,46,M,RJ,Indicação,0
336,33,F,BH,Indicação,0
337,25,M,BSB,Facebook,0
338,31,F,SP,Facebook,0
339,39,F,SP,Facebook,0
340,28,M,POA,Orgânico,0
341,25,M,RJ,Facebook,0
342,37,M,SP,Google,0
343,37,F,RJ,Facebook,1
344,28,F,POA,Indicação,0
345,29,F,BSB,Indicação,0
346,37,M,BH,Orgânico,1
347,17,M,SP,Orgânico,0
348,18,M,BSB,Google,1
349,26,M,RJ,Facebook,0
350,32,F,BSB,Orgânico,0
351,38,M,SP,Orgânico,0
352,52,M,SP,Facebook,0
353,45,F,RJ,Facebook,0
354,33,F,SP,Orgânico,1
355,34,M,BH,Facebook,0
356,22,M,POA,Facebook,0
357,34,M,RJ,Orgânico,0
358,31,M,BSB,Orgânico,0
359,38,M,RJ,Google,0
360,25,M,BH,Facebook,1
361,41,F,BSB,Facebook,1
362,53,F,BH,Orgânico,1
363,33,F,RJ,Orgânico,0
364,39,F,RJ,Orgânico,0
365,43,M,BH,Facebook,1
366,30,M,SP,Google,0
367,37,M,BSB,Indicação,1
368,35,M,POA,Facebook,1
369,36,F,RJ,Indicação,0
370,25,M,BH,Indicação,1
371,35,M,BH,Facebook,0
372,40,M,RJ,Orgânico,0
373,52,M,RJ,Google,0
374,46,F,BSB,Orgânico,1
375,60,M,RJ,Facebook,0
376,25,F,SP,Orgânico,0
377,45,M,BSB,Indicação,0
378,37,M,RJ,Google,0
379,61,M,BSB,Google,0
380,25,F,SP,Google,0
381,24,M,SP,Google,0
382,27,M,POA,Orgânico,0
383,9,M,SP,Google,0
384,28,F,BSB,Facebook,0
385,25,F,BSB,Google,0
386,36,M,BH,Indicação,1
387,39,F,SP,Orgânico,0
388,57,M,RJ,Facebook,1
389,46,M,BSB,Indicação,0
390,28,F,RJ,Orgânico,0
391,24,M,RJ,Google,1
392,40,M,RJ,Orgânico,0
393,19,F,SP,Facebook,0
394,56,F,BSB,Google,0
395,49,F,BSB,Indicação,1
396,29,F,POA,Google,1
397,14,M,RJ,Orgânico,0
398,51,M,BH,Google,0
399,33,M,SP,Google,1
400,49,M,RJ,Indicação,0
401,15,M,RJ,Indicação,0
402,27,M,POA,Orgânico,0
403,35,M,BSB,Google,1
404,35,M,POA,Orgânico,0
405,29,F,BSB,Orgânico,1
406,42,M,BSB,Facebook,1
407,22,M,SP,Orgânico,0
408,33,M,BSB,Indicação,0
409,36,M,RJ,Google,0
410,41,M,SP,Facebook,0
411,43,F,SP,Google,0
412,21,F,RJ,Orgânico,1
413,16,F,SP,Google,0
414,50,M,RJ,Indicação,0
415,38,M,RJ,Google,1
416,26,M,POA,Indicação,0
417,53,M,BSB,Google,0
418,36,F,RJ,Orgânico,0
419,49,F,SP,Google,0
420,35,M,SP,Orgânico,0
421,59,M,SP,Orgânico,0
422,56,F,SP,Indicação,0
423,32,F,POA,Google,1
424,46,F,RJ,Google,1
425,42,F,SP,Orgânico,0
426,51,F,SP,Google,0
427,23,F,RJ,Google,0
428,43,F,RJ,Indicação,0
429,47,M,SP,Google,0
430,13,M,POA,Google,0
431,20,F,SP,Indicação,0
432,10,M,SP,Facebook,0
433,31,F,SP,Google,0
434,43,M,RJ,Indicação,1
435,53,F,SP,Facebook,1
436,35,M,SP,Orgânico,0
437,54,F,SP,Google,0
438,18,M,RJ,Indicação,0
439,14,M,SP,Facebook,0
440,34,F,SP,Facebook,0
441,39,F,RJ,Google,0
442,34,F,SP,Google,0
443,10,M,RJ,Orgânico,0
444,33,M,SP,Facebook,1
445,19,M,SP,Indicação,0
446,43,M,RJ,Orgânico,0
447,39,F,SP,Indicação,0
448,23,F,SP,Facebook,0
449,28,M,RJ,Google,0
450,22,F,POA,Orgânico,0
451,34,F,BH,Indicação,0
452,46,F,BSB,Indicação,0
453,23,F,BSB,Facebook,0
454,41,M,POA,Orgânico,0
455,28,F,BH,Orgânico,0
456,25,F,RJ,Google,0
457,33,F,SP,Indicação,0
458,22,M,SP,Facebook,0
459,28,F,RJ,Google,0
460,20,M,POA,Orgânico,0
461,58,M,RJ,Google,1
462,35,F,BH,Indicação,1
463,26,F,RJ,Facebook,0
464,37,M,RJ,Facebook,0
465,33,M,RJ,Facebook,0
466,32,M,RJ,Orgânico,0
467,42,M,SP,Facebook,1
468,44,F,BH,Google,1
469,28,M,BSB,Indicação,0
470,28,F,BSB,Google,0
471,31,F,SP,Google,0
472,7,M,BSB,Google,0
473,16,F,SP,Google,0
474,51,M,SP,Facebook,0
475,54,M,BH,Facebook,1
476,32,M,SP,Google,0
477,41,F,SP,Orgânico,0
478,38,F,SP,Google,0
479,71,M,BH,Orgânico,1
480,48,F,SP,Indicação,1
481,33,F,RJ,Google,0
482,23,F,RJ,Orgânico,1
483,15,F,BH,Facebook,0
484,37,F,BSB,Facebook,0
485,25,M,RJ,Google,0
486,17,F,SP,Orgânico,0
487,27,F,SP,Facebook,0
488,22,M,RJ,Google,0
489,55,F,BH,Google,0
490,45,F,SP,Orgânico,0
491,34,F,SP,Google,0
492,52,M,BH,Google,0
493,35,F,RJ,Facebook,0
494,24,F,BH,Orgânico,0
495,53,M,BSB,Google,1
496,41,M,BH,Google,0
497,22,F,RJ,Orgânico,0
498,32,M,RJ,Google,1
499,24,M,POA,Indicação,0
500,18,M,RJ,Orgânico,0
501,46,F,SP,Orgânico,0
502,57,F,SP,Google,0
503,18,M,RJ,Facebook,0
504,41,M,POA,Google,0
505,27,M,SP,Orgânico,1
506,29,M,SP,Orgânico,0
507,27,F,BSB,Google,0
508,24,M,POA,Indicação,0
509,35,F,SP,Orgânico,1
510,25,M,SP,Google,0
511,38,F,RJ,Google,0
512,34,F,SP,Google,0
513,32,M,BSB,Facebook,1
514,24,F,SP,Orgânico,0
515,28,F,SP,Orgânico,0
516,44,F,SP,Google,0
517,41,M,SP,Google,0
518,23,F,SP,Facebook,0
519,36,F,SP,Orgânico,0
520,44,M,BH,Indicação,0
521,14,M,SP,Indicação,0
522,41,F,POA,Indicação,0
523,27,F,SP,Google,0
524,41,M,RJ,Facebook,0
525,25,M,SP,Orgânico,0
526,13,F,SP,Google,1
527,15,F,RJ,Indicação,0
528,35,M,RJ,Google,0
529,38,M,BH,Indicação,0
530,24,F,BH,Indicação,0
531,42,F,RJ,Indicação,0
532,15,M,RJ,Orgânico,0
533,34,F,BSB,Facebook,1
534,20,F,RJ,Indicação,0
535,27,F,POA,Google,0
536,35,F,BSB,Orgânico,1
537,24,M,SP,Google,0
538,30,M,SP,Orgânico,0
539,47,F,RJ,Google,1
540,28,F,BH,Google,0
541,45,F,RJ,Google,1
542,21,F,BH,Orgânico,0
543,41,M,SP,Facebook,0
544,52,F,SP,Google,0
545,5,F,SP,Google,1
546,25,M,RJ,Facebook,1
547,41,M,RJ,Google,1
548,32,F,SP,Indicação,0
549,39,M,RJ,Google,0
550,27,M,SP,Indicação,0
551,36,F,SP,Google,1
552,33,F,BH,Facebook,0
553,49,M,SP,Indicação,0
554,38,F,RJ,Google,1
555,39,M,BSB,Facebook,0
556,30,M,BSB,Facebook,1
557,29,M,SP,Google,1
558,29,F,RJ,Indicação,0
559,39,F,BH,Indicação,0
560,29,M,BH,Indicação,1
561,38,M,BH,Google,0
562,59,F,SP,Google,1
563,45,M,SP,Google,0
564,31,M,RJ,Indicação,0
565,49,F,BH,Facebook,0
566,30,F,SP,Facebook,0
567,10,F,SP,Orgânico,1
568,22,F,BH,Google,0
569,12,M,SP,Orgânico,0
570,30,F,SP,Google,0
571,35,F,SP,Orgânico,0
572,55,M,SP,Facebook,0
573,38,M,RJ,Orgânico,1
574,32,M,SP,Google,0
575,44,F,SP,Facebook,1
576,8,M,SP,Facebook,0
577,37,F,SP,Orgânico,0
578,44,M,RJ,Orgânico,1
579,17,F,SP,Google,0
580,48,M,RJ,Indicação,0
581,39,F,SP,Indicação,1
582,30,F,SP,Google,0
583,42,M,SP,Google,0
584,62,M,SP,Orgânico,0
585,37,F,RJ,Facebook,1
586,37,M,RJ,Google,0
587,29,F,BSB,Google,0
588,24,F,SP,Google,0
589,44,F,SP,Indicação,0
590,24,M,SP,Facebook,0
591,35,F,BH,Facebook,1
592,29,F,SP,Google,1
593,40,F,RJ,Facebook,0
594,39,F,SP,Google,0
595,47,M,SP,Orgânico,0
596,28,M,POA,Google,1
597,31,F,RJ,Orgânico,0
598,23,M,BH,Facebook,0
599,29,M,RJ,Facebook,0
600,39,F,RJ,Google,0
601,44,M,SP,Indicação,0
602,23,M,RJ,Orgânico,1
603,45,M,SP,Google,0
604,51,M,RJ,Google,0
605,39,M,RJ,Indicação,0
606,57,M,BH,Google,1
607,25,F,RJ,Indicação,0
608,20,M,RJ,Google,0
609,13,F,SP,Indicação,0
610,52,F,SP,Indicação,0
611,42,F,SP,Google,0
612,34,M,BH,Indicação,1
613,38,M,POA,Facebook,0
614,21,F,SP,Google,0
615,64,F,SP,Facebook,1
616,36,F,RJ,Facebook,1
617,36,M,BSB,Google,0
618,43,M,RJ,Orgânico,0
619,40,M,SP,Indicação,0
620,37,F,POA,Google,0
621,25,M,BSB,Orgânico,1
622,40,M,SP,Facebook,0
623,57,F,POA,Indicação,0
624,51,M,RJ,Google,0
625,54,F,SP,Orgânico,0
626,28,M,RJ,Orgânico,0
627,23,F,BSB,Indicação,0
628,33,M,RJ,Google,0
629,35,F,SP,Google,0
630,48,M,POA,Facebook,1
631,14,F,SP,Google,0
632,53,F,BH,Facebook,1
633,33,M,RJ,Indicação,0
634,29,M,SP,Orgânico,0
635,22,F,SP,Facebook,0
636,15,M,BSB,Google,0
637,44,F,RJ,Orgânico,0
638,35,F,RJ,Orgânico,1
639,19,M,RJ,Facebook,0
640,19,M,BH,Google,0
641,30,M,RJ,Indicação,0
642,55,F,SP,Orgânico,0
643,31,F,SP,Google,0
644,16,M,BSB,Indicação,0
645,32,F,RJ,Indicação,0
646,31,F,SP,Facebook,1
647,2,M,POA,Orgânico,1
648,34,F,BH,Facebook,0
649,32,F,SP,Indicação,0
650,43,F,POA,Indicação,1
651,57,M,RJ,Google,0
652,48,M,SP,Indicação,0
653,31,F,SP,Orgânico,0
654,21,M,RJ,Orgânico,0
655,65,F,BH,Facebook,1
656,35,M,SP,Google,0
657,35,F,SP,Orgânico,0
658,34,F,SP,Indicação,0
659,37,F,RJ,Orgânico,1
660,33,F,SP,Google,0
661,28,M,SP,Facebook,0
662,28,F,RJ,Google,1
663,34,F,BH,Orgânico,0
664,28,M,RJ,Orgânico,0
665,26,M,SP,Indicação,0
666,36,F,RJ,Google,0
667,31,F,SP,Google,0
668,53,M,POA,Indicação,0
669,3,F,BH,Indicação,0
670,48,F,SP,Indicação,0
671,49,F,SP,Facebook,0
672,10,F,RJ,Facebook,0
673,30,F,RJ,Google,1
674,30,F,RJ,Indicação,0
675,18,F,BSB,Facebook,0
676,25,F,BH,Orgânico,1
677,21,F,RJ,Indicação,0
678,56,M,BSB,Facebook,1
679,46,M,BH,Google,1
680,50,M,BH,Orgânico,0
681,43,F,POA,Google,0
682,21,F,SP,Facebook,0
683,28,F,SP,Orgânico,0
684,40,M,BSB,Indicação,1
685,20,M,BH,Indicação,0
686,43,F,POA,Google,1
687,32,M,SP,Orgânico,0
688,30,M,RJ,Google,0
689,43,F,SP,Google,1
690,40,F,RJ,Google,0
691,30,M,SP,Google,0
692,48,F,SP,Orgânico,0
693,22,M,SP,Indicação,0
694,42,M,RJ,Indicação,0
695,42,M,SP,Orgânico,0
696,31,F,SP,Google,0
697,38,M,SP,Google,0
698,19,M,SP,Indicação,0
699,46,F,POA,Indicação,0
700,32,F,SP,Facebook,0
701,28,M,SP,Google,0
702,47,F,BSB,Facebook,1
703,26,F,RJ,Google,0
704,18,M,BH,Google,0
705,16,F,RJ,Google,0
706,42,M,POA,Facebook,1
707,19,F,SP,Facebook,0
708,56,F,POA,Facebook,0
709,10,M,BSB,Orgânico,0
710,55,M,RJ,Orgânico,0
711,37,F,RJ,Indicação,0
712,33,F,RJ,Orgânico,0
713,28,F,SP,Orgânico,0
714,39,M,SP,Facebook,0
715,34,F,POA,Facebook,0
716,48,M,RJ,Orgânico,1
717,36,F,SP,Indicação,0
718,36,F,BH,Google,1
719,30,F,RJ,Indicação,0
720,34,F,SP,Google,0
721,38,F,BH,Facebook,1
722,14,M,BH,Google,0
723,18,M,SP,Google,0
724,43,M,POA,Google,0
725,37,F,SP,Orgânico,1
726,32,M,RJ,Google,0
727,35,M,SP,Google,0
728,39,F,RJ,Google,0
729,28,F,SP,Indicação,0
730,25,M,SP,Orgânico,1
731,37,M,BSB,Google,0
732,23,M,SP,Google,0
733,39,M,BH,Facebook,0
734,14,M,RJ,Indicação,0
735,47,M,POA,Google,0
736,40,M,RJ,Facebook,1
737,38,F,SP,Facebook,0
738,46,M,SP,Facebook,0
739,54,F,BSB,Orgânico,0
740,47,F,BSB,Google,0
741,12,F,SP,Google,0
742,19,M,RJ,Orgânico,0
743,27,M,RJ,Orgânico,1
744,35,F,POA,Google,0
745,41,M,POA,Orgânico,0
746,26,M,POA,Indicação,0
747,37,F,BSB,Google,0
748,25,M,POA,Facebook,1
749,27,F,SP,Google,1
750,18,F,BSB,Google,0
751,23,F,BH,Google,0
752,18,F,POA,Indicação,0
753,23,M,RJ,Orgânico,0
754,47,F,SP,Facebook,0
755,23,M,RJ,Facebook,1
756,66,M,RJ,Facebook,0
757,40,M,SP,Indicação,0
758,37,M,SP,Orgânico,0
759,24,F,RJ,Facebook,0
760,43,F,SP,Indicação,0
761,28,F,SP,Facebook,0
762,36,F,SP,Orgânico,1
763,65,F,POA,Google,0
764,33,M,BH,Google,0
765,48,F,SP,Facebook,1
766,26,M,BH,Orgânico,0
767,34,M,BH,Indicação,0
768,56,F,SP,Orgânico,0
769,27,M,SP,Google,0
770,56,M,RJ,Facebook,1
771,43,F,RJ,Facebook,0
772,28,F,BH,Indicação,1
773,42,F,RJ,Orgânico,0
774,46,M,SP,Orgânico,0
775,42,F,POA,Indicação,0
776,16,F,SP,Indicação,0
777,26,M,BH,Orgânico,0
778,32,F,SP,Facebook,0
779,34,M,SP,Orgânico,1
780,42,M,RJ,Orgânico,1
781,37,F,SP,Facebook,0
782,18,M,RJ,Orgânico,0
783,39,M,SP,Facebook,0
784,42,F,RJ,Google,0
785,41,F,RJ,Indicação,0
786,47,F,SP,Google,0
787,45,M,BSB,Facebook,1
788,40,M,SP,Orgânico,0
789,34,F,SP,Google,0
790,15,F,RJ,Google,0
791,40,F,RJ,Indicação,0
792,37,M,RJ,Facebook,0
793,38,F,SP,Facebook,0
794,19,M,BSB,Facebook,0
795,22,F,RJ,Google,0
796,47,M,SP,Google,0
797,34,M,SP,Orgânico,0
798,43,F,BSB,Google,1
799,35,M,RJ,Facebook,1
800,35,M,SP,Orgânico,0
801,46,F,SP,Orgânico,0
802,28,F,SP,Google,1
803,36,M,RJ,Indicação,0
804,29,M,BSB,Orgânico,0
805,29,M,RJ,Indicação,0
806,31,F,RJ,Orgânico,0
807,37,M,POA,Facebook,1
808,29,M,RJ,Google,0
809,50,F,RJ,Facebook,1
810,24,F,SP,Indicação,0
811,32,F,RJ,Indicação,0
812,29,F,RJ,Google,1
813,52,F,SP,Google,0
814,37,M,POA,Orgânico,1
815,47,M,BSB,Google,0
816,17,M,BH,Google,0
817,38,F,RJ,Orgânico,0
818,45,F,RJ,Facebook,0
819,35,F,SP,Google,0
820,47,M,SP,Facebook,0
821,28,F,BH,Indicação,0
822,51,F,RJ,Facebook,0
823,62,F,BSB,Orgânico,1
824,30,M,SP,Google,0
825,29,F,RJ,Indicação,0
826,52,F,RJ,Google,0
827,53,M,RJ,Facebook,0
828,28,F,BSB,Orgânico,0
829,29,F,POA,Google,0
830,31,F,SP,Indicação,0
831,18,M,SP,Google,0
832,23,F,SP,Google,0
833,22,F,RJ,Indicação,0
834,25,M,SP,Indicação,0
835,34,M,BH,Google,0
836,37,F,RJ,Orgânico,0
837,53,M,RJ,Google,0
838,23,F,BH,Google,0
839,46,M,RJ,Google,1
840,32,F,RJ,Google,0
841,34,F,SP,Google,0
842,43,F,RJ,Orgânico,0
843,21,M,RJ,Facebook,1
844,39,M,RJ,Facebook,0
845,36,F,POA,Orgânico,1
846,40,F,POA,Facebook,0
847,38,F,BSB,Google,1
848,64,F,SP,Google,1
849,27,M,BH,Google,0
850,28,M,SP,Facebook,0
851,27,F,SP,Google,0
852,28,M,SP,Indicação,0
853,27,M,SP,Indicação,0
854,49,M,SP,Orgânico,0
855,52,F,RJ,Orgânico,0
856,28,F,POA,Google,0
857,25,M,SP,Google,0
858,40,M,POA,Indicação,0
859,28,F,SP,Google,0
860,42,F,SP,Google,0
861,37,F,RJ,Indicação,0
862,16,M,RJ,Facebook,1
863,53,M,SP,Orgânico,0
864,56,M,SP,Facebook,0
865,27,F,RJ,Orgânico,0
866,30,F,SP,Orgânico,0
867,38,F,BH,Google,1
868,39,F,RJ,Indicação,0
869,42,F,SP,Indicação,0
870,59,M,BSB,Indicação,1
871,32,M,SP,Facebook,0
872,25,M,BH,Facebook,0
